Layer Name,Average Gradient
conv_1_3x3,tensor(0.0203)
stage_1.0.conv_a,tensor(0.0189)
stage_1.0.conv_b,tensor(0.0277)
stage_1.1.conv_a,tensor(0.0715)
stage_1.1.conv_b,tensor(0.0148)
stage_1.2.conv_a,tensor(0.0814)
stage_1.2.conv_b,tensor(0.0345)
stage_2.0.conv_a,tensor(0.0215)
stage_2.0.conv_b,tensor(0.0158)
stage_2.1.conv_a,tensor(0.0185)
stage_2.1.conv_b,tensor(0.0066)
stage_2.2.conv_a,tensor(0.0173)
stage_2.2.conv_b,tensor(0.0137)
stage_3.0.conv_a,tensor(0.0124)
stage_3.0.conv_b,tensor(0.0140)
stage_3.1.conv_a,tensor(0.0213)
stage_3.1.conv_b,tensor(0.0156)
stage_3.2.conv_a,tensor(0.0195)
stage_3.2.conv_b,tensor(0.0039)
classifier,tensor(0.0258)
