Layer Name,Average Gradient
conv_1_3x3,tensor(0.0002)
stage_1.0.conv_a,tensor(0.0001)
stage_1.0.conv_b,tensor(0.0001)
stage_1.1.conv_a,tensor(4.5265e-05)
stage_1.1.conv_b,tensor(6.2711e-05)
stage_1.2.conv_a,tensor(0.0001)
stage_1.2.conv_b,tensor(8.3801e-05)
stage_2.0.conv_a,tensor(4.7787e-05)
stage_2.0.conv_b,tensor(4.2436e-05)
stage_2.1.conv_a,tensor(6.6399e-05)
stage_2.1.conv_b,tensor(2.4177e-05)
stage_2.2.conv_a,tensor(7.1644e-05)
stage_2.2.conv_b,tensor(3.1096e-05)
stage_3.0.conv_a,tensor(3.0530e-05)
stage_3.0.conv_b,tensor(2.1419e-05)
stage_3.1.conv_a,tensor(2.5475e-05)
stage_3.1.conv_b,tensor(2.2673e-05)
stage_3.2.conv_a,tensor(2.1802e-05)
stage_3.2.conv_b,tensor(1.0212e-05)
classifier,tensor(0.0003)
